cc_alias	language	lexeme	status	lexeme_source	cognacy_source	comment
mountain-E	Gondi	meʈʈa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:457 (B)	DED5058
mountain-E	Koya	meʈʈa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5058 (A)	
mountain-F	Malayalam	paɾʋatam	LOAN	Kolipakam fieldwork (A)	Buck 1949:26 (L)	
mountain-F	Telugu	paɾʋatamu	LOAN	Kolipakam fieldwork (A)	Buck 1949:26 (L)	
mountain-G	Toda	tiʈʈə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3221 (A)	
mountain-H	Tulu	da:ɾi		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
mountain-I	Malto	be:ɖo paha:ɖi		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton
mountain-J	Kurukh	paɾta		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton
mountain-K	Kolami	danɖime:ʈ		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton
mountain-L	Kota	ʋe:ʈume		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton
mountain-M	Ollari_Gadba	kappe		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton. No entry in DED
mouth-A	Betta_Kurumba	ba:jə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 5352
mouth-A	Brahui	ba:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:484 (A)	DED5352
mouth-A	Kannada	ba:ji		Kolipakam fieldwork (A)	Burrow Emeneau 1961:484 (A)	set - 5352
mouth-A	Kodava	ba:ji		Kolipakam fieldwork (A)	Burrow Emeneau 1961:484 (A)	set - 5352
mouth-A	Kota	ʋa:ji		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:484 (A)	DED5352
mouth-A	Kurukh	baji		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:484 (A)	DED5352
mouth-A	Malayalam	ʋa:ja		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:484 (A)	; set - 5352
mouth-A	Parji	vāy		Andronov 1964 (B)	Burrow Emeneau 1961:484 (A)	set - 5352
mouth-A	Tamil	ʋa:ji		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:484 (A)	; set - 5352
mouth-A	Tamil	ʋa:		Kolipakam fieldwork (A)	Burrow Emeneau 1961:484 (A)	set - 5352
mouth-A	Toda	po:i		Kolipakam fieldwork (A)	Burrow Emeneau 1961:484 (A)	set - 5352
mouth-A	Tulu	ba:ji		Kolipakam fieldwork (A)	Burrow Emeneau 1961:484 (A)	set - 5352
mouth-A	Yeruva	ba:ji		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 5352(pg.484), but not on DED list.
mouth-B	Telugu	no:ɾu		Kolipakam fieldwork (A)	Andronov 1964 (A)	
mouth-C	Koya	pavu:ɾ		Kolipakam fieldwork (A)	Kolipakam (C)	Self-identified. Not similar to any other form.
mouth-D	Badga	pe		Kolipakam fieldwork (A)	Kolipakam (C)	Self-identified. Not similar to any other form.
mouth-E	Gondi	toɖɖi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:288 (A)	DED3296
mouth-E	Malto	toɾo		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:288 (A)	DED3296
mouth-F	Kolami	mu:ti		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:455 (A)	DED5031
mouth-G	Kuwi	guʈi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:156 (A)	DED1078
mouth-H	Ollari_Gadba	tʃa:lu		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
name-A	Badga	esaɾə		Kolipakam fieldwork (A)	Jordan (B)	Lookalike to Kannada: hesaru
name-A	Betta_Kurumba	pja:ɾə		Kolipakam fieldwork (A)	Jordan (B)	Lookalike cognate with Tamil: peyar
name-A	Brahui	pin		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:389 (A)	DED4410
name-A	Gondi	poɾol		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:389 (A)	DED4410
name-A	Kannada	hesaru		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:4410 (A)	Andronov cognate class A; B& form: pesar(u), and cognate with Ta. peyar
name-A	Kodava	peda		Kolipakam fieldwork (A)	Burrow Emeneau 1961:4410 (A)	
name-A	Kolami	pe:ɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:389 (A)	DED4410
name-A	Kota	pe:ɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:389 (A)	DED4410
name-A	Koya	pedeɾ		Kolipakam fieldwork (A)	Jordan (B)	Lookalike to Parji: pidir, etc
name-A	Kuwi	doru		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:389 (A)	DED4410
name-A	Malayalam	peɾə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:4410 (A)	; B&E form: peyar, piyar, pēr
name-A	Parji	pidir		Andronov 1964 (B); Burrow Emeneau 1961 (A)		
name-A	Tamil	pe:ɾə		Andronov 1964 (B); Burrow Emeneau 1961 (A); Kolipakam fieldwork (A)	Andronov 1964 (B)	
name-A	Telugu	pe:ɾu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:4410 (A)	; 
name-A	Toda	pe:ɾ		Kolipakam fieldwork (A)	Dunn (A)	
name-A	Tulu	pudaɾə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:4410 (A)	B&E form: pudarů
name-A	Yeruva	pe:ɾu		Kolipakam fieldwork (A)	Jordan (B)	Same form as Telugu pe:ɾu
name-B	Kurukh	na:me	LOAN	Kolipakam (fieldwork) (A)	Buck 1949:1263 (L)	Sanskrit nāman- 'name'
name-B	Malto	na:mi	LOAN	Kolipakam (fieldwork) (A)	Buck 1949:1263 (L)	nāman- 'name' (Sanskrit) etc.
neck-A	Badga	katə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1366 (C)	Good lookalike (e.g. Ka. kattu)
neck-A	Kota	kaɖate:l		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:127 (A)	DED1366
neck-A	Malayalam	kaɻutə		Kolipakam fieldwork (A)	Andronov 1964 (B)	
neck-A	Tamil	kaɭuttə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED1366 (A)	; 
neck-B	Koya	meɖaka:ja		Kolipakam fieldwork (A)	Dunn (C)	Reasonable lookalike (to meɖa)
neck-B	Telugu	meɖa		Kolipakam fieldwork (A)	Andronov 1964 (A)	
neck-B	Toda	maɾ		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4847 (A)	
neck-C	Kurukh	kʰesir		Kolipakam (fieldwork) (A)		
neck-C	Malto	asaɾdu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:181 (A)	Set 1996 "Kur. xēser (xesr-) neck, shoulders. Malt. qasru neck.? Cf. 1366 Ta. kar̤uttu. DED 1662."
neck-D	Kannada	kuthige		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1718 (A)	Andronov had it in set /cognate/114/
neck-E	Kodava	bo:ɭe		Kolipakam fieldwork (A)	Dunn (B)	no obvious cognates to this set
neck-E	Yeruva	bo:ɭe		Kolipakam fieldwork (A)	Dunn (B)	no obvious cognates to this set
neck-F	Tulu	kekkilə		Kolipakam fieldwork (A)	Dunn (B)	no phonological evidence to link this to other sets
neck-G	Betta_Kurumba	kp:ma:ɭi		Kolipakam fieldwork (A)	Dunn (B)	apparent singleton
neck-H	Kolami	mak		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:408 (A)	DED4622
neck-I	Brahui	lex		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
neck-J	Malto	ɖo:nɖo		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or
neck-K	Ollari_Gadba	kanɖ		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
neck-L	Gondi	guɖunga		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
new-A	Badga	ostə		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
new-B	Kolami	kota		Kolipakam (fieldwork) (A)	Kolipakam (B)	
new-B	Koya	kottad		Kolipakam fieldwork (A)	Dunn (B)	good lookalike to Telegu "kotta"
new-B	Telugu	kotta		Kolipakam fieldwork (A)	Andronov 1964 (A)	
new-C	Brahui	pu:skun		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:378 (A)	
new-C	Gondi	puna		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:378 (A)	DED4275
new-C	Kannada	hosadu		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4275 (A)	
new-C	Kodava	pudija		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4275 (A)	
new-C	Kota	pudijadə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:378 (A)	DED4275
new-C	Kurukh	pu:na		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:378 (A)	DED4275
new-C	Kuwi	puni		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:378 (A)	DED4275
new-C	Malayalam	pudija		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4275 (A)	
new-C	Malto	pu:na		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED4275
new-C	Parji	pun		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED4275 (A)	; 
new-C	Tamil	pudusə		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4275 (A)	
new-C	Tamil	pudu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4275 (A)	
new-C	Toda	pudu:n		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4275 (A)	clear cognate
new-C	Tulu	posatta		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4275 (A)	
new-C	Yeruva	pudijai		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4275 (B)	clear cognate
new-D	Betta_Kurumba	pəjjmən		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
new-E	Ollari_Gadba	nia	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	possible loanword from hindi - naja
night-A	Badga	iɾə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2552  (A)	
night-A	Kota	e:lumaɾam		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:222 (A)	DED2552
night-A	Tamil	iɾa:ʋə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B)	
night-A	Tamil	ɾa:ʋə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2552  (B)	
night-B	Kannada	ɾa:tɾi	LOAN	Andronov 1964 (L); Kolipakam fieldwork (A)	Andronov 1964 (L); Buck 1949:992 (C)	; Sanskrit rātri-
night-B	Malayalam	ɾa:tɾi	LOAN	Andronov 1964 (L); Kolipakam fieldwork (L)	Andronov 1964 (L)	
night-B	Malto	ɾa:ti	LOAN	Kolipakam (fieldwork) (A)	Andronov 1964 (L)	loanword
night-B	Tamil	ɾa:tɾi	LOAN	Kolipakam fieldwork (A)	Buck 1949:992 (L)	
night-B	Telugu	ɾa:tɾi	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	
night-B	Tulu	ɾa:tɾe	LOAN	Kolipakam fieldwork (A)	Buck 1949:992 (L)	
night-C	Kurukh	ma:ha		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:425 (A)	DED4781
night-C	Malto	ma:a:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED4781
night-D	Koya	mulipe		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4869 (A)	
night-E	Kodava	bajiʈə		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
night-F	Yeruva	andi		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
night-G	Betta_Kurumba	ədlə		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
night-H	Toda	ekka:ɖə		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
night-I	Gondi	naɾkaɖ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:316 (A)	DED3584
night-J	Brahui	nam		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:320 (A)	DED3621
night-J	Kuwi	la:n		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:320 (A)	DED3621
night-K	Kolami	siɾbedin		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparently singleton. no entry in DED
nose-A	Badga	mu:kə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike of the set - 5024(pg.454) . But not in the DED list.
nose-A	Betta_Kurumba	mu:kkə		Kolipakam fieldwork (A)	Kolipakam (B)	high quality look alike to set - 5024
nose-A	Kannada	mu:gə		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:454 (A)	; set - 5024
nose-A	Kodava	mu:kkə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:454 (A)	set - 5024
nose-A	Kolami	mu:kk		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:454 (A)	DED5024
nose-A	Kota	mu:kə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:454 (A)	DED5024
nose-A	Kurukh	mu:ji		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:454 (A)	DED5024
nose-A	Kuwi	mungeli		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:454 (A)	DED5024
nose-A	Malayalam	mu:kə		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:454 (A)	; set - 5024
nose-A	Ollari_Gadba	mungan		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:454 (A)	DED5024
nose-A	Parji	muvãḍ		Andronov 1964 (B)	Burrow Emeneau 1961:454 (A)	set - 5024
nose-A	Tamil	mu:kə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:454 (A)	; set - 5024
nose-A	Telugu	mukku		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:454 (A)	; set - 5024
nose-A	Tulu	mu:gu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:454 (A)	set - 5024
nose-A	Yeruva	mu:kkə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike of the set - 5024(pg.454) . But not in the DED list.
nose-B	Gondi	mosoɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:455 (A)	DED5031
nose-B	Koya	mosso:ɾ		Kolipakam fieldwork (A)	Kolipakam (C)	Self-identified.
nose-C	Toda	mittu:p		Kolipakam fieldwork (A)	Kolipakam (C)	Self-identified.
nose-D	Malto	muso:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:439 (A)	DED4909
nose-E	Brahui	ba:mus		Kolipakam (fieldwork) (A)	Kolipakam (A)	No obvious cognate or entry in DED
not-A	Betta_Kurumba	ila		Kolipakam fieldwork (A)	Dunn (B)	good lookalike
not-A	Gondi	helle		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:466 (A)	DED2559
not-A	Kodava	ille		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2559 (B)	DED2559
not-A	Kota	illa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:466 (A)	DED2559
not-A	Koya	ille		Kolipakam fieldwork (A)	Verkerk (B)	high quality look alike
not-A	Malayalam	illa		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED2559 (A)	; DED2559
not-A	Tamil	ille		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED2559 (A)	; DED2559; speeled differently: il non-existence, death; illai it is not (in Old Tamil with a complete neg. paradigm); no; illāmai absence, non-existence, poverty, want; illātavaṉ one utterly destitute; illāṉ poor man; ill-eṉal death, negating existence; ilam, ilampai poverty; ili one who is without (at end of cpd.); iṉmai total negation of existence, poverty; iṉṟiya that which is not.
not-A	Telugu	le:du		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2559 (A)	DED2559
not-A	Yeruva	ille		Kolipakam fieldwork (A)	Verkerk (B)	high quality look alike
not-B	Kolami	ka:du		Kolipakam (fieldwork) (A)	Kolipakam (B)	High quality look alike to DED333
not-B	Telugu	ka:du		Kolipakam fieldwork (A)	Burrow Emeneau 1961:31 (A)	DED333
not-C	Betta_Kurumba	ala		Kolipakam fieldwork (A)	Dunn (B)	good lookalike
not-C	Kannada	alla		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED234 (A)	DED234 - this cognate coding goes against Andronov, who said that this form goes with cognate class A.
not-D	Badga	kulle		Kolipakam fieldwork (A)	Verkerk (B)	
not-E	Toda	a:ɖudi		Kolipakam fieldwork (A)	Verkerk (B)	
not-E	Tulu	a:tu		Kolipakam fieldwork (A)	Dunn (C)	reasonable lookalike to Toda; no other apparent cognates
not-F	Kurukh	mala		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED4743
not-F	Malto	mala:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED4743
not-G	Brahui	a:xa		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates/look - alikes in the wordlist
not-H	Brahui	nƐ		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or look alikes in the wordlist.
not-I	Malto	hambija		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or look alike.
one-A	Badga	ondə		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
one-A	Betta_Kurumba	ʋandə		Kolipakam fieldwork (A)	Dunn (B)	See e.g. phonetic realization of /o:ʈəja/ [wo:ʈaja] "all"
one-A	Brahui	asit		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:94 (A)	DED990
one-A	Gondi	ondi		Kolipakam (fieldwork) (A)	Kolipakam (B)	High quality look alike
one-A	Kannada	ondu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:990d (A)	990d; "Ka. ondu one thing;"
one-A	Kodava	ondə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:990d (A)	990d; "Koḍ. ondï one thing;"
one-A	Kolami	okko:t		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:94 (A)	DED990
one-A	Kota	o:dit		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:94 (A)	DED990
one-A	Koya	oɾɾo:ʈ		Kolipakam fieldwork (A)	Verkerk (C)	Looks similar to the Gondi form, but the Gondi form is itself doubtful to be cognate (except for Andronov's cognate coding)
one-A	Kurukh	o:nd		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:94 (A)	DED990
one-A	Kuwi	ranɖi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:94 (A)	DED990
one-A	Malayalam	onnə		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:990d (A)	; 990d; "Ta. oṉṟu, oṇṇu the number one; one "
one-A	Malto	o:nd		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED990a
one-A	Ollari_Gadba	okuʈi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:94 (A)	DED990
one-A	Parji	ok		Andronov 1964 (B)	Burrow Emeneau 1961:990b (A)	990b; "Pa. okur one man; okal one woman; okut, okti one thing; ok one (adj.). "
one-A	Tamil	onnə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:990d (A)	; 990d; "Ta. oṉṟu, oṇṇu the number one; one "
one-A	Telugu	okaʈi		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:990b (A)	; 990b; "Te. oka one (adj.), single; okãḍu, okõḍu, okarũḍu, okaruvũḍu, okorũḍu one man, one animal or thing; okata, okati, okatuka, okate, okarita, okariti, okarite, okartu, okartuka, okarte, okota, okorita, etc., one woman; okaru some persons; okaṭi, okoṭi one thing; okaṭa, okoṭa at one and the same time, together; (nearly all Te. forms also with -kk-). "
one-A	Tulu	ondʒi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:990d (A)	990d; "Tu. oñji one thing;"
one-A	Yeruva	ondʒu		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
one-B	Toda	uttə		Kolipakam fieldwork (A)	Verkerk (B)	Doesn't look similar to any of the other forms; search for this form in DED is not succesfull
person-A	Kannada	manusa	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	
person-A	Kodava	manasa	LOAN	Kolipakam fieldwork (A)	Verkerk (L)	None of these forms are to be found in the DED, so I am assuming that they are all (except one) loans, since they all look highly similar
person-A	Kolami	maniʂa:n	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	
person-A	Koya	mansu:ɳɖ	LOAN	Kolipakam fieldwork (A)	Verkerk (L)	None of these forms are to be found in the DED, so I am assuming that they are all (except one) loans, since they all look highly similar
person-A	Malayalam	manuʂan	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	
person-A	Tamil	maṉitaṉ	LOAN	Andronov 1964 (L)	Andronov 1964 (L)	
person-A	Tamil	manuʂan	LOAN	Kolipakam fieldwork (A)	Verkerk (L)	None of these forms are to be found in the DED, so I am assuming that they are all (except one) loans, since they all look highly similar
person-A	Telugu	maniʂi	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	
person-A	Tulu	manuʂe:	LOAN	Kolipakam fieldwork (A)	Verkerk (L)	None of these forms are to be found in the DED, so I am assuming that they are all (except one) loans, since they all look highly similar
person-A	Yeruva	manutʃe	LOAN	Kolipakam fieldwork (A)	Verkerk (L)	None of these forms are to be found in the DED, so I am assuming that they are all (except one) loans, since they all look highly similar
person-B	Badga	kanɖə		Kolipakam fieldwork (A)	Verkerk (B)	Does not look like the other forms
person-C	Toda	kinnu:ɖə		Kolipakam fieldwork (A)	Verkerk (B)	Doesn't look like any of the others
person-D	Betta_Kurumba	a:ɭə ~ a:ɭu		Kolipakam fieldwork (A)	Dunn (B)	Singleton
person-D	Kurukh	a:l		Kolipakam (fieldwork) (A)	Kolipakam (B)	high quality look alike
person-E	Gondi	lokuɾ		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
person-F	Malto	malah		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
person-G	Brahui	bandag		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
rain-A	Badga	me		Kolipakam fieldwork (A)	Jordan (C)	Lookalike with Kannada "male"
rain-A	Betta_Kurumba	maɭi		Kolipakam fieldwork (A)	Jordan (B)	Lookalike to Kodava form DED4753
rain-A	Kannada	maɭe		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4753 (A)	B&E form: mar̤e
rain-A	Kodava	maɭe		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4753 (A)	B&E form: maḷe
rain-A	Kota	mai		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:421 (A)	DED4753
rain-A	Malayalam	maɻa		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED4753 (A)	; 
rain-A	Tamil	maɻai		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED4753 (A)	; 
rain-A	Toda	meɖutti		Kolipakam fieldwork (A)	Jordan (C)	meɖ: Lookalike with rest of cognate class A ūṭṭi: Lookalike with Tamil: rain (DED761) Possible merge of two cognate classes?
rain-A	Yeruva	maɭe		Kolipakam fieldwork (A)	Jordan (B)	Identical to Kannada form DED4753
rain-B	Telugu	ʋarʂam	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L); Buck 1949:67 (L)	; Skt. varsa-
rain-B	Tulu	baɾsa	LOAN	Kolipakam fieldwork (A)	Buck 1949:67 (L)	Skt. varsa-
rain-C	Kolami	ʋa:na		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:487 (A)	DED5381
rain-C	Koya	ʋa:na		Kolipakam fieldwork (A)	Jordan (A)	Lookalike to Kolami vana DED5381
rain-C	Parji	vāni		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED5381 (A)	; 
rain-C	Telugu	ʋa:na		Kolipakam fieldwork (A)	Burrow Emeneau 1961:487 (A)	DED5381
rain-D	Brahui	pƐɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:372 (A)	DED4199
rain-D	Gondi	piɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:372 (A)	DED4199
rain-E	Malto	dʒaɖa:		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. No entry in DED
rain-F	Kurukh	tʃe:p		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton no entry in DED
rain-G	Kuwi	bela		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton. No entry in DED
red-A	Badga	keppə		Kolipakam fieldwork (A)	Jordan (B)	Form identical to Toda
red-A	Brahui	xi:sun		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:175 (A)	DED1931
red-A	Kannada	kempu		Kolipakam fieldwork (A)	Andronov 1964 (A)	
red-A	Kodava	tʃo:pə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:176 (B)	Set 1931 The form in Burrow is co·pï.
red-A	Kurukh	kheso		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:175 (A)	DED1931
red-A	Malayalam	tʃumappə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:176 (A)	Set 1931
red-A	Malto	e:so		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED1931
red-A	Parji	key		Andronov 1964 (B)	Burrow Emeneau 1961:176 (B)	Set 1931. Andronov coded this as a separate cognate class C.
red-A	Tamil	ce-m-		Andronov 1964 (B)	Andronov 1964 (B)	
red-A	Tamil	seʋappə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:175 (A)	DED1931
red-A	Tamil	segappə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:175 (A)	DED1931
red-A	Toda	keppə		Kolipakam fieldwork (A)	Jordan (B)	Closely related languages have same or similar forms.
red-A	Tulu	kempu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1931 (A)	
red-A	Yeruva	tʃo:pə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:176 (B)	Set 1931 The form in Burrow is co·pï.
red-B	Gondi	eɾɾag		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:84 (A)	DED865
red-B	Gondi	jeɾɾag		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:84 (A)	DED865
red-B	Kolami	jeruɖi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:84 (A)	DED865
red-B	Koya	eɾɾa		Kolipakam fieldwork (A)	Jordan (B)	Form is very similar to closely related Telugu.
red-B	Telugu	eɾupu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:DED865 (A)	Andronov's form: eṟṟa; 
red-C	Betta_Kurumba	tissəgaɳɖa:ngi		Kolipakam fieldwork (A)	Jordan (C)	
red-D	Kota	netiɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:335 (A)	DED3748
red-D	Kuwi	netuɾi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:335 (A)	DED3748
red-E	Kuwi	gaɖga		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. No entry in DED
